name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"London,UK",2022-10-12,16.6,6.1,12,16.6,6.1,12,8.5,80.2,0,0,0,,0,0,28.5,17.2,215.2,1020.9,71.4,18.3,58.5,5.1,4,,2022-10-12T07:19:11,2022-10-12T18:13:59,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London,UK",2022-10-13,17.5,12.5,14.1,17.5,12.5,14.1,12,87.8,5.398,100,29.17,rain,0,0,18.7,10.5,257.8,1015.6,67.1,13.9,38.5,3.2,2,,2022-10-13T07:20:52,2022-10-13T18:11:48,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,remote,03772099999,03770099999"
"London,UK",2022-10-14,16.3,10.6,13.1,16.3,10.6,13.1,11.4,89.8,0.199,100,8.33,rain,0,0,20.9,15.4,226.9,1010.2,73,15.5,36,3,1,,2022-10-14T07:22:34,2022-10-14T18:09:38,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,remote,03772099999,03770099999"
"London,UK",2022-10-15,16.6,9.3,12.8,16.6,8.6,12.7,9.6,82.2,0.396,100,8.33,rain,0,0,44.2,28.5,221.6,1003.8,47.7,12.9,53.9,4.8,4,,2022-10-15T07:24:16,2022-10-15T18:07:29,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London,UK",2022-10-16,17.1,11,14.1,17.1,11,14.1,9.8,76,0.22,100,16.67,rain,0,0,37.1,20,191.7,1009.6,42.1,14.5,55,4.7,3,,2022-10-16T07:25:58,2022-10-16T18:05:21,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,remote,03772099999,03770099999"
"London,UK",2022-10-17,19.3,12.2,16.2,19.3,12.2,16.2,12.2,78.4,3.602,100,20.83,rain,0,0,39.2,21.5,219.5,1016.6,60.7,14.5,41.3,3.6,2,,2022-10-17T07:27:41,2022-10-17T18:03:14,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,remote,03772099999,03770099999"
"London,UK",2022-10-18,18.1,8.1,12.6,18.1,8.1,12.6,9,80.6,0,0,0,,0,0,21.9,13.2,85.1,1027.1,21.2,15.3,53.8,4.5,4,,2022-10-18T07:29:23,2022-10-18T18:01:07,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03781099999,03672099999,remote,03772099999,03770099999"
"London,UK",2022-10-19,16.6,12.8,14.5,16.6,12.8,14.5,11.3,81,0,0,0,,0,0,34.4,26.4,88.6,1019.6,35.3,14.6,44.8,3.9,3,,2022-10-19T07:31:07,2022-10-19T17:59:02,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London,UK",2022-10-20,17.3,8.1,14.9,17.3,8.1,14.9,13.3,90,6.012,100,33.33,rain,0,0,31.2,14.3,163.8,1006.9,73.7,10.9,24.5,2,1,,2022-10-20T07:32:50,2022-10-20T17:56:57,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London,UK",2022-10-21,18.8,8.1,15,18.8,8.1,15,12.7,86.3,1.422,100,29.17,rain,0,0,57.6,25.2,180.8,1001.7,88.4,10.2,46.2,3.9,3,,2022-10-21T07:34:34,2022-10-21T17:54:54,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,remote,03772099999,03770099999"
